data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7812843,104,MMR14823,14823,9-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Shan-North,Kyaukme,Kyaukme,Kyaukme,22.5392,97.0343,1,Shwe Phee Myay News Agency,Subnational,"On 9 April 2021, in Kyaukme town, Kyaukme Township (Kyaukme District, Shan State), locals held a protest march against the military coup and in support of the civil disobedience movement. [size=no report]",0,1618436423,MMR
7812846,104,MMR14895,14895,9-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Mandalay,Pyinoolwin,Mogoke,Mogoke,22.9176,96.5098,1,Shwe Phee Myay News Agency,National,"On 9 April 2021, in Mogoke town (Mogoke township, Pyin Oo Lwin district, Mandalay Region), locals held a protest march against the military coup and in support of the civil disobedience movement. [size=no report]",0,1618436424,MMR
7812850,104,MMR14786,14786,9-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Shan-North,Kyaukme,Hsipaw,Hsipaw,22.6166,97.3003,1,Shwe Phee Myay News Agency,Subnational,"On 9 April 2021, in Hsipaw town, Hsipaw township (Kyaukme district, Shan state), people held a protest march against the Myanmar military coup and in support of the civil disobedience movement. [size=no report]",0,1618436424,MMR
7812852,104,MMR14923,14923,9-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Shan-North,Muse,Namhkan,Namhkan,23.8334,97.6798,1,Shwe Phee Myay News Agency,Subnational,"On 9 April 2021, in Namhkan town, Namhkan township (Muse district, Shan state), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. They also called for people to not participate in Thingyan festival this year and symbolically burned the Chinese and Russian flags during the protest. [size=no report]",0,1618436424,MMR
7812612,104,MMR14894,14894,8-Apr-21,2021,1,Protests,Protest with intervention,Protesters (Myanmar),,6,Military Forces of Myanmar (2021-),Police Forces of Myanmar (2021-),1,16,Southeast Asia,Myanmar,Mandalay,Pyinoolwin,Mogoke,Mogoke,22.9176,96.5098,1,Democratic Voice of Burma,National,"On 8 April 2021, in Mogoke town (Mogoke Township, Pyin Oo Lwin District, Mandalay Region), separating in different protest columns, hundreds of locals held protests against the Myanmar military coup and in support of the civil disobedience movement. [size=hundreds]",0,1618436424,MMR
7812628,104,MMR14848,14848,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Magway,Magway,Magway,Magway,20.1496,94.9325,1,Democratic Voice of Burma,National,"On 8 April 2021, in Magway town (Magway Township, Magway District, Magway Region), at night, locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. [size=no report]",0,1618336752,MMR
7812630,104,MMR14814,14814,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Mon,Thaton,Kyaikto,Kyaikto,17.3115,97.0198,1,Democratic Voice of Burma,National,"On 8 April 2021, in Kyaikto town (Kyaikto Township, Thaton District, Mon State), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. They also burned China flag and pictures of Min Aung Hlaing and other Myanmar military generals during the protest. [size=no report]",0,1618336752,MMR
7812635,104,MMR14955,14955,8-Apr-21,2021,1,Violence against civilians,Attack,Military Forces of Myanmar (2021-),,1,Civilians (Myanmar),,7,17,Southeast Asia,Myanmar,Kachin,Mohnyin,Mogaung,San Pa Li,25.3408,96.9249,1,Democratic Voice of Burma,National,"On 8 April 2021, in San Pa Li village, Mogaung township (Mohnyin district, Kachin State), a military vehicle that came from the direction of Tanai stopped at the village and began conducting inspections, ordering villagers to stop for inspections. Military forces began firing at villagers who fled. They reportedly also fired another 15 shots in the village. One villager was shot in the head and taken to the hospital with serious injuries.",0,1618336752,MMR
7812639,104,MMR14743,14743,8-Apr-21,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,KIO/KIA: Kachin Independence Organization/Kachin Independence Army,,2,Military Forces of Myanmar (2021-),,1,12,Southeast Asia,Myanmar,Kachin,Bhamo,Bhamo,Bhamo,24.2525,97.2335,1,Democratic Voice of Burma,National,"On 8 April 2021, in Bhamo town (Bhamo Township, Bhamo District, Kachin State), Myanmar military soldiers stepped on two landmines set up by the KIA on a road toward Hnaung Wan. Five soldiers died and 8 others were injured.",5,1618336752,MMR
7812898,104,MMR14738,14738,8-Apr-21,2021,1,Riots,Violent demonstration,Rioters (Myanmar),,5,,,0,50,Southeast Asia,Myanmar,Bago-East,Bago,Bago,Bago,17.3352,96.4813,1,VOA,International,"On 8 April 2021, in Bago town (Bago township, Bago District, Bago Region), locals held a demonstration against the Myanmar military coup and in support of the civil disobedience movement. Demonstrators set up barricades to block roads to prevent military and police intervention. Military and police forces reportedly used drones to watch and monitor demonstrators. [size=no report]",0,1618436426,MMR
7812903,104,MMR14802,14802,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Sagaing,Katha,Katha,Katha,24.1816,96.3316,1,VOA,International,"On 8 April 2021, in Katha town (Katha Township, Katha District, Sagaing Region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement [size=no report]",0,1618336753,MMR
7812906,104,MMR14773,14773,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Kayin,Hpa-An,Hpa-An,Hpa-an,16.8895,97.6348,1,VOA,International,"On 8 April 2021, in Hpa-an town (Hpa-an Township, Hpa-an District, Kayin State), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. [size=no report]",0,1618436426,MMR
7812651,104,MMR14825,14825,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Mandalay,Nyaung-U,Kyaukpadaung,Kyaukpadaung,20.8425,95.1322,2,Democratic Voice of Burma,National,"On 8 April 2021, in Kyaukpadaung town (Kyaukpadaung Township, Nyaung-U District, Mandalay Region), separating in different protest columns, local held protests against the Myanmar military coup and in support of the civil disobedience movement. [size=no report]",0,1618336753,MMR
7812907,104,MMR14901,14901,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Sagaing,Monywa,Monywa,Monywa,22.1086,95.1358,2,VOA,International,"On 8 April 2021, at Let Pan Daung area in Monywa Township (Monywa District, Sagaing Region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement [size=no report]",0,1618336753,MMR
7812909,104,MMR15005,15005,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Sagaing,Shwebo,Ye-U,Ye-U,22.7691,95.4304,1,VOA,International,"On 8 April 2021, in Ye-U town, Ye-U township (Shwebo District, Sagaing Region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement [size=no report]",0,1618436427,MMR
7812912,104,MMR14941,14941,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Bago-East,Taungoo,Phyu,Phyu,18.4843,96.4357,1,VOA,International,"On 8 April 2021, in Phyu town (Phyu Township, Taungoo District, Bago Region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement [size=no report]",0,1618436427,MMR
7812913,104,MMR14912,14912,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Mandalay,Myingyan,Myingyan,Myingyan,21.46,95.3884,1,VOA,International,"On 8 April 2021, in Myingyan town (Myingyan township, Myingyan division, Mandalay region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement [size=no report]",0,1618336753,MMR
7812914,104,MMR14762,14762,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),Teachers (Myanmar); Labour Group (Myanmar); Students (Myanmar),6,,,0,60,Southeast Asia,Myanmar,Tanintharyi,Dawei,Dawei,Dawei,14.0828,98.1915,1,VOA,International,"On 8 April 2021, in Dawei town, Dawei township (Dawei district, Tanintharyi Region), locals - including teachers, engineers and students - protested against the Myanmar military coup and in support of the civil disobedience movement. [size=no report]",0,1618336753,MMR
7812916,104,MMR14843,14843,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Tanintharyi,Dawei,Launglon,Launglon,13.9755,98.1204,1,VOA,International,"On 8 April 2021, in Launglon town, Launglon township (Dawei district, Tanintharyi Region), locals protested against the Myanmar military coup and in support of the civil disobedience movement. They also symbolically burned physical copies of the 2008 Constitution, as well as the Chinese and Russian flags during the protest. [size=no report]",0,1618336753,MMR
7812917,104,MMR14755,14755,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Bago-East,Bago,Daik-U,Daik-U,17.7896,96.6696,1,VOA,International,"On 8 April 2021, in Daik-U township (Bago District, Bago Region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement [size=no report]",0,1618436427,MMR
7812918,104,MMR14964,14964,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Sagaing,Shwebo,Tabayin,Tabayin,22.6884,95.3209,1,VOA,International,"On 8 April 2021, in Tabayin town (Tabayin township, Shwebo District, Sagaing region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement [size=no report]",0,1618336753,MMR
7812920,104,MMR14873,14873,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Mon,Mawlamyine,Mawlamyine,Mawlamyine,16.4563,97.6469,1,VOA,International,"On 8 April 2021, in Mawlamyine city (Mawlamyine Township, Mawlamyine District, Mon State), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement [size=no report]",0,1618336753,MMR
7812683,104,MMR14887,14887,8-Apr-21,2021,1,Battles,Armed clash,KIO/KIA: Kachin Independence Organization/Kachin Independence Army,,2,Military Forces of Myanmar (2021-),,1,12,Southeast Asia,Myanmar,Kachin,Mohnyin,Mogaung,Mogaung,25.3054,96.9354,2,Kachinland News,Subnational,"On 8 April 2021, at Lwe Li Yang Ywar Haung in Mogaung township (Mohnyin District, Kachin State), the KIA ambushed the Myanmar military troops of about 50 soldiers on 3 military trucks. Casualties unknown.",0,1618336753,MMR
7812685,104,MMR14919,14919,8-Apr-21,2021,1,Violence against civilians,Attack,Military Forces of Myanmar (2021-),,1,Civilians (Myanmar),Lisu Ethnic Group (Myanmar),7,17,Southeast Asia,Myanmar,Kachin,Myitkyina,Myitkyina,Nam Jin,25.472,97.3556,1,Kachinland News,Subnational,"On 8 April 2021, in Nam Jin village (Myitkyina Township, Myitkyina District, Kachin State), the Myanmar military hit a Lisu ethnic couple with a gun and interrogated about two landmine explosion happened near a monastery in the village on the same day.",0,1618336753,MMR
7812696,104,MMR14780,14780,8-Apr-21,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),,1,Civilians (Myanmar),,7,17,Southeast Asia,Myanmar,Kayin,Hpapun,Hpapun,Hpapun,18.065,97.4449,2,Karen News,Subnational,"On 8 April 2021, Hpapun township (Hpapun District, Kayin State), the Paw Khay Kho-based Myanmar military LIB-20 fired twelve artillery shells into Yeh Mu Plaw, Tae Boe Plaw and Saw Mu Plaw villages. The shelling killed a 60-year-old villager.",1,1618336753,MMR
7814504,104,MMR14867,14867,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),Buddhist Group (Myanmar),6,,,0,60,Southeast Asia,Myanmar,Mandalay,Mandalay,,Mandalay,21.9747,96.0836,1,Democratic Voice of Burma,National,"On 8 April 2021, in Mandalay city (Mandalay Region), the Sangha Union protest column along with locals held a protest against the Myanmar military coup. The protesters demanded federal democracy and the release of arrested civilians. Protesters burned pictures of the Chinese President. [size=no report]",0,1618442039,MMR
7814512,104,MMR14999,14999,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),Students (Myanmar),6,,,0,60,Southeast Asia,Myanmar,Yangon,Yangon,,Yangon,16.8052,96.1561,2,Myanmar Pressphoto Agency,National,"On 8 April 2021, in Yangon city (Yangon region), in several locations, locals - led by students - held the 'red movement' in protest against the Myanmar military coup. Students and young people put up red stickers on houses, main roads, walls, bus stops and so on. People also gathered to hold up three-finger salute with a red sticker with the word 'Red movement. You can't govern us'. [size=no report]",0,1618442039,MMR
7812752,104,MMR14948,14948,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Mandalay,Mandalay,Pyigyitagon,Pyigyitagon,21.902,96.1042,2,Myanmar Labour News,National,"On 8 April 2021, in Pyigyitagon township (Mandalay district, Mandalay Region), locals rode motorcycles in protest against the Myanmar military coup and in support of the civil disobedience movement [size=no report]",0,1618336753,MMR
7812753,104,MMR14984,14984,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Sagaing,Shwebo,Taze,Taze,22.944,95.3736,1,Myanmar Labour News,National,"On 8 April 2021, in Taze town (Taze township, Shwebo District, Sagaing Region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement [size=no report]",0,1618336753,MMR
7812766,104,MMR14767,14767,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Yangon,Yangon-West,Hlaing,Hlaing,16.8479,96.1252,2,Myanmar Labour News,National,"On 8 April 2021, in Hlaing township (Yangon (West) District, Yangon Region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement [size=no report]",0,1618436433,MMR
7812769,104,MMR14973,14973,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Yangon,Yangon-East,Tamwe,Tamwe,16.8102,96.1765,2,Myanmar Labour News,National,"On 8 April 2021, in Tamwe township (Yangon region), locals held a night protest against the Myanmar military coup and in support of the civil disobedience movement [size=no report]",0,1618436433,MMR
7812772,104,MMR14785,14785,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Shan-North,Kyaukme,Hsipaw,Hsipaw,22.6166,97.3003,1,Myanmar Labour News,National,"On 8 April 2021, in Hsipaw town (Hsipaw Township, Kyaukme District, Shan State), locals held a protest march against the Myanmar military coup and in support of the civil disobedience movement. [size=no report]",0,1618436433,MMR
7812776,104,MMR14826,14826,8-Apr-21,2021,1,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Police Forces of Myanmar (2021-),1,Civilians (Myanmar),,7,17,Southeast Asia,Myanmar,Mandalay,Nyaung-U,Kyaukpadaung,Kyaukpadaung,20.8425,95.1322,1,Myanmar Now,National,"On 8 April 2021, in Kyaukpadaung town, Kyaukpadaung township (Nyaung-U district, Mandalay Region), military and police forces entered San Pya ward and shot and killed a man who tried to escape from the security forces. He was reportedly shot twice - in the calf and then in the back as he was running away. His body was then taken away by soldiers onto a military truck. His family was later informed by security forces to go to the local crematorium that same evening when his body would be cremated. It was reported that he had been an active in the anti-coup protests in the area.",1,1618336753,MMR
7812779,104,MMR14749,14749,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),Students (Myanmar); Teachers (Myanmar); ABFSU: All Burma Federation of Student Unions,6,,,0,60,Southeast Asia,Myanmar,Mandalay,Mandalay,Chanmyathazi,Chanmyathazi,21.9394,96.0958,2,Myanmar Pressphoto Agency,National,"On 8 April 2021, in Aung Pin Lae ward, Chanmyathazi town, Chanmyathazi township (Mandalay District, Mandalay Region), in the afternoon, locals including members of ABFSU and teachers protested against the Myanmar military coup and in support of the civil disobedience movement. [size=no report]",0,1618336753,MMR
7812785,104,MMR14878,14878,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Yangon,Yangon-West,Mayangone,Mayangone,16.8662,96.1426,2,Myanmar Pressphoto Agency,National,"On 8 April 2021, in Mayangone township (Yangon (West) district, Yangon region), locals from ward no.3 held a protest march against the Myanmar military coup and in support of the civil disobedience movement. [size=no report]",0,1618436434,MMR
7812544,104,MMR14831,14831,8-Apr-21,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),,1,KIO/KIA: Kachin Independence Organization/Kachin Independence Army,,2,12,Southeast Asia,Myanmar,Kachin,Myitkyina,Waingmaw,Laiza,24.7561,97.5505,2,Kachin News Group; Kachinland News; Network Media Group,Subnational-National,"On 8 April 2021, around Laiza where the KIA headquarters is located, in Waingmaw Township (Myitkyina District, Kachin State), the Hkang Kai Bum and Hpun Pyen Bum-based Myanmar military LB-142 fired about eight to ten rounds of 105 mm mortars at the KIA battalion-24 of brigade-5 positions. Also, the Ma Ji mountain-based Myanmar military fired 105 mm mortars at the KIA battalion-27 positions. The sound of explosions was heard from Laiza. Casualties unknown.",0,1618336752,MMR
7812804,104,MMR14746,14746,8-Apr-21,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Myanmar),,3,Civilians (Myanmar),,7,37,Southeast Asia,Myanmar,Rakhine,Maungdaw,Buthidaung,Buthidaung,20.8754,92.5272,2,Radio Free Asia,Regional,"On 8 April 2021, in Taung Ywar village, Buthidaung township (Maungdaw District, Rakhine State), a landmine exploded after a child playing in a plantation stepped on it. The explosion injured six children, including one who suffered serious injuries.",0,1618336753,MMR
7812549,104,MMR14853,14853,8-Apr-21,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Myanmar (2021-),,1,KNU/KNLA: Karen National Union/Karen National Liberation Army,,2,12,Southeast Asia,Myanmar,Mon,Mawlamyine,Ye,Man Aung,15.1382,97.9152,2,Democratic Voice of Burma; Karen Information Center News,National,"On 8 April 2021, near Man Aung village, Chaung Hpyar area, in Ye township (Mawlamyine District, Mon State), the Myanmar military fired about 7 rounds of artillery shells around the KNU brigade-6 area. Two shells fell in a village, and a house was damaged. Casualties not reported.",0,1618336752,MMR
7812809,104,MMR14797,14797,8-Apr-21,2021,1,Protests,Peaceful protest,Protesters (Myanmar),,6,,,0,60,Southeast Asia,Myanmar,Sagaing,Kale,Kale,Kale,23.1568,94.1222,1,Radio Free Asia,Regional,"On 8 April 2021, in Kale town (Kale Township, Kale District, Sagaing Region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. Protesters avoided places where military and police were deployed, and the protest ended without any military or police intervention. [size=no report]",0,1618336753,MMR
7812555,104,MMR14918,14918,8-Apr-21,2021,1,Explosions/Remote violence,Remote explosive/landmine/IED,KIO/KIA: Kachin Independence Organization/Kachin Independence Army,,2,Military Forces of Myanmar (2021-),,1,12,Southeast Asia,Myanmar,Kachin,Myitkyina,Myitkyina,Nam Jin,25.472,97.3556,1,Democratic Voice of Burma; Kachinland News,Subnational-National,"On 8 April 2021, at the outskirt of Nam Jin village (Myitkyina Township, Myitkyina District, Kachin State), the KIA battalion-11 of brigade-2 ambushed the Myanmar military troops with landmines. Casualties unknown.",0,1618336752,MMR
7812811,104,MMR14832,14832,8-Apr-21,2021,1,Protests,Protest with intervention,Protesters (Myanmar),,6,Military Forces of Myanmar (2021-),,1,16,Southeast Asia,Myanmar,Yangon,Yangon-West,Lanmadaw,Lanmadaw,16.7795,96.142,2,Radio Free Asia,Regional,"On 8 April 2021, in Lanmadaw Township (Yangon-West District, Yangon Region), locals held a night protest against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military arrested and beat 9 protesters. [size=no report]",0,1618436435,MMR
7812817,104,MMR14776,14776,8-Apr-21,2021,1,Protests,Protest with intervention,Protesters (Myanmar),,6,Police Forces of Myanmar (2021-),,1,16,Southeast Asia,Myanmar,Kachin,Mohnyin,Hpakant,Hpakant,25.6138,96.3148,1,Radio Free Asia,Regional,"On 8 April 2021, in Hpakant town (Hpakant Township, Mohnyin District, Kachin State), separating in different protest columns, locals held protests against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar police arrested 7 people at the Aye Mya Thayar protest column's gathering point. [size=no report]",0,1618336753,MMR
7812825,104,MMR14992,14992,8-Apr-21,2021,1,Battles,Armed clash,SSPP/SSA-N: Shan State Progress Party/Shan State Army-North,,2,Military Forces of Myanmar (2021-),,1,12,Southeast Asia,Myanmar,Shan-South,Loilen,Kyethi,Wan Hai,21.9193,98.1322,1,Shan Herald Agency for News,Subnational,"On 8 April 2021, in Wan Hai village - the SSPP headquarter - in Kyethi township (Loilen District, Shan State), the SSPP fired at the Myanmar military helicopter after the helicopter flew around the area several times. A senior Myanmar military officer was injured. The Myanmar military informed SSPP that they were meeting UWSA on 7 April, and will be landed at Mong Nawng to come to Wai Han to meet with SSPP. However, the SSPP claim that the military did not do as the information given to them but rather flew on 8 April.",0,1618436436,MMR
7812849,104,MMR14858,14858,8-Apr-21,2021,1,Battles,Armed clash,Military Forces of Myanmar (2021-),,1,KIO/KIA: Kachin Independence Organization/Kachin Independence Army,,2,12,Southeast Asia,Myanmar,Shan-North,Muse,Kutkai,Man Pang,23.616,97.9316,2,Shwe Phee Myay News Agency,Subnational,"On 8 April 2021, near Man Pang in Kutkai township (Muse District, Shan State), the Myanmar military and KIA clashed for about a few minutes. Casualties unknown.",0,1618436437,MMR
7812618,104,MMR14911,14911,7-Apr-21,2021,1,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Police Forces of Myanmar (2021-),1,Civilians (Myanmar),,7,17,Southeast Asia,Myanmar,Mandalay,Myingyan,Myingyan,Myingyan,21.46,95.3884,1,Democratic Voice of Burma,National,"On 7 April 2021, in Myingyan (Myingyan Township, Mandalay Region), military and police forces shot and injured one man while they opened fire in a neighbourhood.",0,1618336752,MMR
