event_date,event_type,sub_event_type,actor1,actor2,location,latitude,longitude,notes,fatalities
4-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Chanmyathazi,21.9394,96.0958,"On 4 April 2021, between 52nd and 54th street in Chanmyathazi township (Mandalay District, Mandalay region), at night around 9:30 pm, security forces (assumed to be military and police forces) fired shots at a couple riding a motorbike home after work. The 19-year-old woman was killed after being hit by a bullet and suffering a head injury after falling off the bike. Her husband was also wounded by the bullet. Security forces reportedly fired at the couple after they ordered the couple to stop but they rode away.",1
4-Apr-21,Violence against civilians,Abduction/forced disappearance,Military Forces of Myanmar (2021-),Civilians (Myanmar),Lashio,22.9359,97.7498,"On 4 April 2021, in Pang Hkar village (Lashio Township, Lashio District, Shan State), the Myanmar military detained three civilians after the clash between the Myanmar military and KIA near the village. The whereabouts of three civilians were not known.",0
4-Apr-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Pyinmana,19.7381,96.2074,"On 4 April 2021, in Pyinmana town (Pyinmana Township, Nay Pyi Taw Territory), people held a motorcade rally to protest against the Myanmar military coup and in support of the civil disobedience movement. Security forces opened fire on protesters. AAPP reported that one was killed, while BBC reported two killed (fatalities coded as 2 based on most updated fatality estimate). BBC reported that one body was snatched away by security forces. [size=no report]",2
4-Apr-21,Riots,Violent demonstration,Rioters (Myanmar),Military Forces of Myanmar (2021-),Tamu,24.2166,94.3122,"On 4 April 2021, in Tamu town (Tamu township, Tamu district, Sagaing region), locals held a demonstration against the Myanmar military coup and in support of the civil disobedience movement. Demonstrators who were also armed with guns clashed with military and police forces as they fired shots at each other. During a clash, a bomb exploded. AFP reported that two soldiers were killed while Khonumthung News reported that four soldiers were killed. [size=no report]",2
4-Apr-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Loikaw,19.6742,97.2099,"On 4 April 2021, in Loikaw town (Loikaw township, Loikaw district, Kayah state), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. Security forces (assumed to be military and police forces) cracked down on protesters. At least five were arrested, and injuries of protesters were reported, although it was not reported what type of intervention was used by security forces. [size=no report]",0
3-Apr-21,Violence against civilians,Attack,Police Forces of Myanmar (2021-),Civilians (Myanmar),Kale,23.1568,94.1222,"On 3 April 2021, in Kale (Kale Township, Sagaing Region), security forces shot a 13 year old boy who ran outside of his house due to gun shots. He died with gun shot wounds.",1
3-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Bago,17.3352,96.4813,"On 3 April 2021, in Bago town (Bago Township, Bago Region), security forces (coded as military and police forces) randomly opened fire from a monastery compound where they had established a base. A bystander (a 18 year old man) was shot in the abdomen and died later. Irrawaddy and AAPP reported one killed.",1
3-Apr-21,Riots,Violent demonstration,Rioters (Myanmar),Military Forces of Myanmar (2021-),Monywa,22.1086,95.1358,"On 3 April 2021, in Monywa town, Monywa township (Monywa District, Sagaing Region), thousands of people marched to demonstrate against the Myanmar military coup and in support of the civil disobedience movement. They wore helmets and used sandbags as barricades during the demonstration. Security forces (coded as military and police forces) intervened and fired live rounds and used stun grenades at demonstrators. AAPP reported that three were killed, while AFP reported two were killed after being shot in the head (fatalities coded as 3 based on the most updated fatality estimate). [size=thousands]",3
3-Apr-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Thaton,16.9187,97.37,"On 3 April 2021, in Thaton town (Thaton Township, Thaton district, Mon State), nearly 100 villagers protested against the Myanmar military coup and in support of the civil disobedience movement. Nearly 200 military and police personnel intervened and fired shots at protesters. AAPP reported that three were killed, while Irrawaddy reported two killed (fatalities coded as 3 using the most recent fatality estimate). Two of the bodies were reportedly taken away by security forces. At least 20 young people were also arrested during the protest. [size=no report]",3
2-Apr-21,Violence against civilians,Attack,Police Forces of Myanmar (2021-),Civilians (Myanmar),North Okkalapa,16.9188,96.163,"On 2 April 2021, in North Okkalapa (North Okkalapa Township, Yangon Region), security forces stopped buses and kicked the passengers.",0
2-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),North Okkalapa,16.9188,96.163,"On 2 April 2021, in North Okkalapa township (Yangon-East district, Yangon Region), military and police forces pulled over several public buses near Kan Thar Yar Park on Thudhama Road and began abusing the passengers and the bus drivers. They beat and kicked passengers, forced them to kneel down and reportedly held male passengers at gunpoint. They also pulled the hair of female passengers and slapped them in the faces. When residents in the area began coming out of their homes to look at what was happening, security forces started firing live ammunition into residential wards.",0
2-Apr-21,Riots,Mob violence,Rioters (Myanmar),Military Forces of Myanmar (2021-),Yinmarbin,22.0831,94.9021,"On 2 April 2021, in Tha Pye Aye village, Yinmarbin township (coded as Yinmarbin) (Yinmarbin District, Sagaing Region), in the early morning, clashes broke out between villagers and military and police forces when security forces attempted to arrest a Buddhist abbot. The abbot was reportedly a leader for anti-coup demonstrations. One villager was killed while three others were seriously injured. [size=no report]",1
1-Apr-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Nyaung Wun,22.4733,96.0773,"On 1 April 2021, in Nyaung Wun village (Singu township, Pyin Oo Lwin district, Mandalay Region), at night, locals held a demonstration against the Myanmar military coup and in support of the civil disobedience movement. Military and police forces raided the village and used bulldozers to demolish houses, and set three houses on fire. Four villagers were arrested. Some villagers have fled to nearby villages following the incident. [size=no report]",0
1-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Sagaing,21.8787,95.9796,"On 1 April 2021, at Sun Chet ward in Sagaing city (Sagaing Township, Sagaing District, Sagaing Region), the Myanmar military and police fired at locals serving as neighbourhood night watchmen. A father of a child was shot dead.",1
1-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Kyauktada,16.7743,96.1616,"On 1 April 2021, in Kyauktada township (Yangon-west District, Yangon Region), the Myanmar military fired gunshots at civilians who got out to take a look at a supermarket owned by a military-linked conglomerate which was reportedly set on fire. AAPP and DVB reported one was killed and two others were arrested.",1
1-Apr-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Mahaaungmyay,21.9589,96.0912,"On 1 April 2021, in Mahaaungmyay township (Mandalay district, Mandalay region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. Military and police forces opened fire around 41st Street and Sein Pan Street and removed barricades set up by residents. Security forces also fired into houses and used heavy explosive ammunition during the crackdown (reported to be hand grenades). Irrawaddy, DVB and AAPP reported that at least two were killed, including one of the dead whose body was dragged away by security forces. Eight others were injured. [size=no report]",2
1-Apr-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Monywa,22.1086,95.1358,"On 1 April 2021, in Monywa town (Monywa Township, Monywa District, Sagaing Region), thousands of locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. Military and police forces intervened and opened fire. AAPP and DVB reported that one person was killed and at least five others were injured. Four houses near Thida Street were set on fire, but the perpetrators were not confirmed. [size=thousands]",1
1-Apr-21,Protests,Protest with intervention,Protesters (Myanmar),Police Forces of Myanmar (2021-),Mohnyin,24.7782,96.3686,"On 1 April 2021, in Mohnyin town, Mohnyin township (Mohnyin district, Kachin State), locals held a motorcade rally to protest against the Myanmar military coup and in support of the civil disobedience movement. A young man was arrested by plainclothes police officer. He was reportedly beaten while being taken away into a van. [size=no report]",0
1-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Kale,23.1568,94.1222,"On 1 April 2021, in Kale town (Kale Township, Kale district, Sagaing region), at night, an ethnic Chin university student was shot and killed by military and police forces near Kale University. Two others were injured during the shooting.",1
1-Apr-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Yankin,16.8236,96.1627,"On 1 April 2021, in Yankin township (Yangon-east District, Yangon Region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. The security forces (assumed to be the military and police) intervened to disperse protesters. No casualties or arrests reported. [size=no report]",0
1-Apr-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Gangaw,22.1742,94.1358,"On 1 April 2021, in Gangaw township (Gangaw District, Magway Region), locals reportedly held a protest against the Myanmar military coup and in support of the civil disobedience movement. Security forces (assumed to be the Myanmar military and police) reportedly blocked the exit and entry points of the town and fired gunshots at civilians. Four people were killed and several others were injured. [size=no report]",4
1-Apr-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Shwe Myin Tin,16.9023,94.7361,"Around 1 April 2021 (as reported), near Shwe Myin Tin village, Pathein township (Pathein district, Ayeyarwady Region), three NLD lawmakers, five NLD members and a striking police officer were reportedly beaten by security forces (coded as military) while being detained in a military base.",0
31-Mar-21,Riots,Violent demonstration,Rioters (Myanmar),Police Forces of Myanmar (2021-),Kale,23.1568,94.1222,"On 31 March 2021, in Kale town (Kale Township, Kale district, Sagaing region), hundreds of locals held a demonstration against the Myanmar military coup and in support of the civil disobedience movement. Four police officers in plain clothes and wielding iron rods were arrested by demonstrators after they were seen entering the demonstration site. Demonstrators stated that they would continue to detain the police officers at the site until demonstration leaders discuss how to proceed. [size=hundreds]",0
31-Mar-21,Riots,Mob violence,Rioters (Myanmar),Police Forces of Myanmar (2021-),Hpa Do,18.0373,96.5543,"On 31 March 2021, in Hpa Do village (Kyauktaga township, Bago District, Bago Region), a police officer and a man (believed to be a police informant) were stabbed and killed after fighting with a group of villagers. [size=no report]",2
31-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Dagon Myothit (South),16.8402,96.2258,"On 31 March 2021, in Dagon Myothit (South) township (Yangon-east District, Yangon Region), military and police forces raided 104 ward and fired shots. AAPP reported that one man was killed. DVB reported that three people - including a pregnant woman - were shot and injured. 14 people were arrested.",1
31-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Yangon,16.8052,96.1561,"On 31 March 2021, in Yangon City (Yangon Region), a female employee (a Myanmar national) working for the Yangon branch of a Korean bank was shot by security forces (assumed to be military and police forces) while she was on her way home in a company vehicle. She was taken to a hospital in critical condition and died later on 2 April.",1
31-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Police Forces of Myanmar (2021-),Kyaukme,22.5392,97.0343,"On 31 March 2021, in Kyaukme town (Kyaukme Township, Kyaukme District, Shan State), people protested against the Myanmar military coup and in support of the civil disobedience movement. Police forces intervened and fired tear gas. One woman who was not involved in the protest lost consciousness from the tear gas and was taken to a hospital. [size=no report]",0
30-Mar-21,Riots,Violent demonstration,Rioters (Myanmar),Military Forces of Myanmar (2021-),Dagon Myothit (South),16.8402,96.2258,"On 30 March 2021, in Dagon Myothit (South) township (Yangon-east District, Yangon Region), people demonstrated against the military coup and in support of the civil disobedience movement. Military and police forces stormed the area and forced civilians to remove barricades set up by demonstrators. Demonstrators also responded by firing at security forces using slingshots. AAPP reported that two were killed while Myanmar Now and Irrawaddy reported that at least three people were killed, including a man who was reportedly beaten to death using rifle butts by security forces after he refused to remove the roadblocks, and two other residents were shot dead by security forces while removing roadblocks. Several others were injured. [size=no report]",2
30-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Tha Yet Kone,17.4669,96.4789,"On 30 March 2021, around Tha Yet Kone village (Bago township, Bago District, Bago Region), after an explosion near the IB 54 military base, eight villagers from Tha Yet Kone were arrested by military forces for interrogation. During the interrogation, villagers were asked if they knew who was involved in anti-coup protests and if they knew about the earlier explosion. The villagers were reportedly tortured while in custody, including one who had heavy bruises all over his face. They were later released at 1am on 31 March.",0
30-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Kawthoung,9.9824,98.5503,"On 30 March 2021, in Kawthoung town (Kawthoung Township, Kawthoung District, Tanintharyi Region), locals held a protest against the military coup and in support of the civil disobedience movement. Military and police forces intervened and opened fire on protesters. Security forces reportedly also opened fire in three different wards in the town. AAPP and Eleven Media reported that three men were killed and several others were injured. Myanmar Now reported four were killed, including two civilians who were killed by security forces as they roamed around town and fired indiscriminately (fatalities coded as 4 using the most recent fatality estimate). Another civilian was reportedly shot at least five times but could not be found or identified. It was reported that the navy was also patrolling the area with two warships. [size=no report]",4
30-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Muse,23.9933,97.9103,"On 30 March 2021, in Muse town (Muse Township, Muse District, Shan State), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. Military and police forces intervened and fired tear gas to disperse protesters. A male protester was shot in the head and killed by sniper near No. 2 High School in Ho Mun ward by military and police forces in plainclothes. AAPP and DVB reported one fatality as well. [size=no report]",1
30-Mar-21,Riots,Violent demonstration,Rioters (Myanmar),Military Forces of Myanmar (2021-),Myitkyina,25.3832,97.3963,"On 30 March 2021, in Myitkyina town (Myitkyina township, Myitkyina District, Kachin State), locals held a demonstration in Rampu ward against the Myanmar military coup and in support of the civil disobedience movement. They set up barricades and blocked one of the streets. Military and police forces intervened and opened fire. AAPP and Eleven Media reported that one demonstrator was killed by two men in plainclothes (assumed to be security forces), and one other was injured. It was reported that security forces continued firing in the ward and some houses were damaged. A house was also set on fire. [size=no report]",1
30-Mar-21,Explosions/Remote violence,Air/drone strike,Military Forces of Myanmar (2021-),Civilians (Myanmar),Shwegyin,17.8917,97.0045,"On 30 March 2021, in Shwegyin township (Bago District, Bago Region), the Myanmar military carried an airstrike with three fighter jets targeting the KNU brigade-3 controlled area. The KIC and RFA initially reported 6 fatalities, while the Irrawaddy reported an updated figure of 11 fatalities (fatalities coded as 11 using the most updated fatality estimate). 5 other civilians were also reportedly injured. Four 10-wheelers cars were also flamed.",11
30-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Thaketa,16.793,96.203,"On 30 March 2021, in Thaketa township (Yangon-east District, Yangon Region), locals protested against the Myanmar military coup and in support of the civil disobedience movement. Military and police forces fired either rubber bullets or live rounds. A rickshaw driver who was transporting goods was wounded. [size=no report]",0
